Full,Name,bSIE,qSIE,PASIE,LSIE/LdV,bLTM,gammaLTM,PAgLTM,LLTM/LdV,Nsrc,Ring?,Good?,ID,zFG,zBG,Re,R_pred,delta_pct
1,J0008-0004,1.16,0.7,35.2,0.393,1.14,0.09,37.6,0.387,3,No,No,1,0.44,1.1924,1.71,1.6070436890083603e-09,99.99999986146176
2,J0029-0055,0.96,0.89,25.4,0.284,0.95,0.01,33.1,0.282,2,Yes,Yes,2,0.0565,0.7146,15.21,1.4542247626416966e-08,99.99999848518253
3,J0037-0942,1.53,0.84,15.9,0.404,1.52,0.01,67.1,0.401,2,No,Yes,3,0.227,0.9313,2.16,2.0375861525133376e-09,99.99999986682442
4,J0044+0113,0.79,0.66,7.4,0.218,0.76,0.12,19.4,0.211,2,No,Yes,4,0.1955,0.6322,2.19,2.0663845146650026e-09,99.99999973843234
5,J0109+1500,0.69,0.55,99.8,0.321,0.68,0.07,83.8,0.317,1,No,Yes,5,0.1196,0.1965,2.61,2.4605917595908935e-09,99.99999964339251
6,J0157-0056,0.79,0.72,102.6,0.401,0.67,0.24,103.1,0.362,3,No,No,6,0.2939,0.5248,1.38,1.296642384167675e-09,99.99999983586805
7,J0216-0813,1.16,0.79,73.3,0.283,1.15,0.03,78.6,0.282,3,No,Yes,7,0.5132,0.9243,1.06,9.943586510739435e-10,99.99999991427943
8,J0252+0039,1.04,0.93,106.2,0.441,1.03,0.01,99.2,0.439,3,Yes,Yes,8,0.3317,0.5235,2.67,2.505868476303954e-09,99.99999975905112
9,J0330-0020,1.1,0.81,113.2,0.459,1.04,0.07,113.9,0.443,3,No,Yes,9,0.2803,0.9818,1.39,1.3094213527888804e-09,99.99999988096168
10,J0405-0455,0.8,0.72,21,0.355,0.79,0.05,23.5,0.354,1,Yes,Yes,10,0.3507,1.0709,1.2,1.1290052807254652e-09,99.99999985887435
11,J0728+3835,1.25,0.85,67.6,0.392,1.25,0.01,170.6,0.393,4,Yes,Yes,11,0.1301,0.3808,3.76,3.55542555205616e-09,99.99999971556596
12,J0737+3216,1,0.67,98.8,0.239,0.97,0.1,97.8,0.233,2,Yes,Yes,12,0.0753,0.8098,1.36,1.2957999209620099e-09,99.99999987042001
13,J0822+2652,1.17,0.88,68.2,0.37,1.14,0.01,10.5,0.365,2,Yes,Yes,13,0.2058,0.6877,1.78,1.6792081111265676e-09,99.99999985647794
14,J0841+3824,1.41,0.79,91.4,0.242,1.36,0.05,10.2,0.236,2,No,Yes,14,0.3223,0.5812,2.82,2.648968510128897e-09,99.99999981212989
15,J0903+4116,1.29,0.9,161.3,0.396,1.27,0.02,142.4,0.393,2,Yes,No,15,0.0853,0.739,1.77,1.683862863730289e-09,99.99999986946798
16,J0912+0029,1.63,0.56,8.2,0.288,1.62,0.1,5.1,0.286,1,Yes,Yes,16,0.1156,0.5013,1.37,1.2981814592048293e-09,99.99999992035696
17,J0935-0003,0.87,0.69,22.2,0.16,0.81,0.13,27,0.152,1,No,Yes,17,0.1423,0.4523,2.71,2.5617929351409343e-09,99.99999970554104
