Galaxy,ΔAIC_NFW,ΔAIC_Burk
CamB,283.3,238.2
D512-2,-4.2,15.6
D631-7,-815.2,-31.1
DDO064,-89.6,-10.8
DDO161,-4165.7,112.5
ESO079-G014,216.0,7980.3
ESO116-G012,-1274.1,744.9
ESO563-G021,-305.6,26890.2
F561-1,295.1,130.3
F563-1,-266.3,-106.0
F563-V1,202.7,10.9
F563-V2,-89.6,-10.4
F565-V2,-181.9,-78.0
F567-2,80.3,79.5
F568-1,-188.7,-14.8
F568-3,-66.1,877.5
F568-V1,-327.2,-109.1
F571-8,-262.1,4026.6
F571-V1,-106.1,60.5
F574-1,-426.6,424.8
F574-2,118.4,-4.6
F579-V1,-71.9,-91.2
F583-1,-624.0,-75.5
F583-4,-59.6,164.5
IC4202,4245.0,10686.3
NGC0024,-970.8,247.9
NGC0055,2.9,1975.7
NGC0100,-97.1,504.0
NGC0247,-2028.6,368.1
NGC0289,-217.9,181.6
NGC0300,-1303.5,-424.5
NGC0801,-3403.6,-2589.0
NGC0891,-3456.3,13040.6
NGC1003,-6641.0,-4870.3
NGC1090,295.7,13992.8
NGC1705,-764.3,-233.8
NGC2366,-896.8,519.1
NGC2683,-272.9,717.4
NGC2915,-1168.8,-555.9
NGC2955,-2673.4,-1062.2
NGC2976,114.2,1073.0
NGC2998,-159.5,724.5
NGC3109,-2241.1,-1247.7
NGC3521,-794.5,-777.0
NGC3726,-492.5,-681.1
NGC3769,38.4,615.3
NGC3877,-112.0,2537.3
NGC3893,-58.7,910.6
NGC3917,25.5,3112.2
NGC3949,-114.6,-75.6
NGC3953,-726.0,712.1
NGC3972,57.0,1003.1
NGC3992,-76.3,2687.5
NGC4010,114.2,936.8
NGC4013,-2092.6,-369.7
NGC4051,-209.1,50.1
NGC4068,72.3,105.6
NGC4085,-16.2,870.1
NGC4088,-1162.1,-1030.8
NGC4100,-97.7,4641.8
NGC4138,-26.6,226.5
NGC4157,-730.6,-187.3
NGC4183,-72.3,1045.6
NGC4214,-236.5,-248.1
NGC4217,-728.4,4212.8
NGC4389,-79.3,478.0
NGC4559,425.5,1813.2
NGC5371,-10557.0,-16813.9
NGC5585,-807.9,917.5
NGC5907,1705.8,-1643.2
NGC5985,2341.3,24977.0
NGC6015,3208.9,-1342.5
NGC6195,-4752.8,-4030.5
NGC6503,-4501.2,21004.9
NGC6674,-1282.4,-143.3
NGC6789,-57.9,-24.7
NGC7331,-12161.0,4111.8
NGC7793,121.4,155.8
NGC7814,203.7,6585.0
PGC51017,153.1,-16.8
UGC00191,-1927.4,535.6
UGC00634,-2147.2,-397.7
UGC00731,-1543.3,-1021.1
UGC00891,-4862.5,-951.9
UGC01230,-63.7,256.2
UGC02023,19.9,30.6
UGC02259,-2172.9,135.3
UGC02455,401.4,27096.7
UGC02487,793.9,1134.9
UGC02885,-149.7,717.8
UGC02916,-4971.1,23628.3
UGC02953,-68921.3,-29377.2
UGC03205,-1822.2,-839.4
UGC03546,-2354.6,50191.2
UGC03580,5881.6,29514.2
UGC04278,-443.3,-339.6
UGC04305,2161.9,3188.8
UGC04325,-729.3,242.3
UGC04483,-170.9,-36.9
UGC04499,-177.9,442.3
UGC05005,-29.9,25.2
UGC05253,5453.8,57095.9
UGC05414,-10.2,256.3
UGC05716,-16091.8,-15905.1
UGC05750,-2.2,45.2
UGC05764,-17983.6,-10617.9
UGC05829,-108.3,-85.9
UGC05918,-121.3,-41.5
UGC05999,-99.6,959.1
UGC06446,-839.3,-341.8
UGC06614,88.4,254.1
UGC06628,131.8,64.1
UGC06667,-1397.1,-766.2
UGC06786,-2532.0,5935.4
UGC06787,-6028.2,2484.1
UGC06818,13.9,135.6
UGC06917,-142.8,773.9
UGC06923,17.3,165.6
UGC06930,-20.1,348.5
UGC06973,-168.8,3582.4
UGC06983,-476.5,472.9
UGC07089,74.1,234.7
UGC07125,622.0,1161.4
UGC07151,-108.0,907.3
UGC07261,-41.7,191.2
UGC07399,-1875.9,-1092.8
UGC07559,-1.9,33.2
UGC07577,40.8,13.5
UGC07603,-739.1,-83.5
UGC07608,-127.7,-56.7
UGC07690,-21.9,157.5
UGC07866,-0.1,13.7
UGC08286,-3680.3,-92.6
UGC08490,-2185.2,-1241.7
UGC08550,-1232.2,-500.5
UGC08699,-690.3,-190.1
UGC09037,33.9,3300.9
UGC09133,-18876.9,163.0
UGC09992,44.7,13.9
UGC10310,-47.8,107.1
UGC11455,-4255.8,12939.6
UGC11557,101.7,1064.1
UGC11820,-4940.3,-4411.8
UGC11914,-3516.9,-4423.2
UGC12506,5.5,1597.8
UGC12632,-670.9,90.0
UGC12732,-1087.1,-1099.3
UGCA281,-112.6,68.9
UGCA442,-3078.9,-1562.3
UGCA444,-390.2,-195.8
